法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
政令,昭和四十七年政令第四十六号,労働保険の保険料の徴収等に関する法律施行令,ろうどうほけんのほけんりょうのちょうしゅうとうにかんするほうりつせこうれい,,昭和四十七年三月三十一日,雇用保険法等の一部を改正する法律の一部の施行に伴う関係政令の整備に関する政令,令和二年政令第二百十九号,令和二年七月八日,令和二年九月一日,,347CO0000000046,https://laws.e-gov.go.jp/law/347CO0000000046/20200901_502CO0000000219,
政令,昭和四十七年政令第四十七号,失業保険法及び労働者災害補償保険法の一部を改正する法律及び労働保険の保険料の徴収等に関する法律の施行に伴う関係政令の整備等に関する政令,しつぎょうほけんほうおよびろうどうしゃさいがいほしょうほけんほうのいちぶをかいせいするほうりつおよびろうどうほけんのほけんりょうのちょうしゅうとうにかんするほうりつのしこうにともなうかんけいせいれいのせいびとうにかんするせいれい,,昭和四十七年三月三十一日,雇用保険法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令,平成二十一年政令第二百九十六号,平成二十一年十二月二十四日,平成二十二年一月一日,,347CO0000000047,https://laws.e-gov.go.jp/law/347CO0000000047/20100101_421CO0000000296,
政令,昭和四十七年政令第百五十六号,沖縄の復帰に伴う労働省関係法令の適用の特別措置等に関する政令,おきなわのふっきにともなうろうどうしょうかんけいほうれいのてきようのとくべつそちとうにかんするせいれい,,昭和四十七年五月一日,刑法等の一部を改正する法律及び刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律の施行に伴う関係政令の整理等及び経過措置に関する政令,令和七年政令第百九十三号,令和七年五月二十三日,令和七年六月一日,,347CO0000000156,https://laws.e-gov.go.jp/law/347CO0000000156/20250601_507CO0000000193,
政令,昭和四十七年政令第三百十八号,労働安全衛生法施行令,ろうどうあんぜんえいせいほうしこうれい,,昭和四十七年八月十九日,労働安全衛生法施行令及び労働安全衛生法関係手数料令の一部を改正する政令,令和七年政令第三百六十一号,令和七年十月三十一日,令和八年四月一日,,347CO0000000318,https://laws.e-gov.go.jp/law/347CO0000000318/20260401_507CO0000000361,
政令,昭和四十七年政令第三百十八号,労働安全衛生法施行令,ろうどうあんぜんえいせいほうしこうれい,,昭和四十七年八月十九日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係政令の整備に関する政令,令和八年政令第百九十六号,令和八年六月十七日,令和八年十月一日,,347CO0000000318,https://laws.e-gov.go.jp/law/347CO0000000318/20261001_508CO0000000196,○
政令,昭和四十七年政令第三百十八号,労働安全衛生法施行令,ろうどうあんぜんえいせいほうしこうれい,,昭和四十七年八月十九日,労働安全衛生法施行令の一部を改正する政令,令和七年政令第三十五号,令和七年二月十九日,令和九年四月一日,,347CO0000000318,https://laws.e-gov.go.jp/law/347CO0000000318/20270401_507CO0000000035,○
政令,昭和四十七年政令第三百十八号,労働安全衛生法施行令,ろうどうあんぜんえいせいほうしこうれい,,昭和四十七年八月十九日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係政令の整理等に関する政令,令和八年政令第四十号,令和八年三月十八日,令和九年四月一日,,347CO0000000318,https://laws.e-gov.go.jp/law/347CO0000000318/20270401_508CO0000000040,○
政令,昭和四十七年政令第三百十八号,労働安全衛生法施行令,ろうどうあんぜんえいせいほうしこうれい,,昭和四十七年八月十九日,労働安全衛生法施行令の一部を改正する政令,令和八年政令第九十号,令和八年三月三十一日,令和十年四月一日,,347CO0000000318,https://laws.e-gov.go.jp/law/347CO0000000318/20280401_508CO0000000090,○
政令,昭和四十七年政令第三百四十五号,労働安全衛生法関係手数料令,ろうどうあんぜんえいせいほうかんけいてすうりょうれい,,昭和四十七年九月二十八日,労働安全衛生法施行令及び労働安全衛生法関係手数料令の一部を改正する政令,令和七年政令第三百六十一号,令和七年十月三十一日,令和八年四月一日,,347CO0000000345,https://laws.e-gov.go.jp/law/347CO0000000345/20260401_507CO0000000361,
府省令,昭和四十七年労働省令第八号,労働保険の保険料の徴収等に関する法律施行規則,ろうどうほけんのほけんりょうのちょうしゅうとうにかんするほうりつしこうきそく,,昭和四十七年三月三十一日,社会保険審査官及び社会保険審査会法施行規則等の一部を改正する省令,令和八年厚生労働省令第八十八号,令和八年四月二十八日,令和八年五月二十一日,,347M50002000008,https://laws.e-gov.go.jp/law/347M50002000008/20260521_508M60000100088,
府省令,昭和四十七年労働省令第九号,失業保険法及び労働者災害補償保険法の一部を改正する法律及び労働保険の保険料の徴収等に関する法律の施行に伴う労働省令の整備等に関する省令,しつぎょうほけんほうおよびろうどうしゃさいがいほしょうほけんほうのいちぶをかいせいするほうりつおよびろうどうほけんのほけんりょうのちょうしゅうとうにかんするほうりつのしこうにともなうろうどうしょうれいのせいびとうにかんするしょうれい,,昭和四十七年三月三十一日,失業保険法及び労働者災害補償保険法の一部を改正する法律及び労働保険の保険料の徴収等に関する法律の施行に伴う労働省令の整備等に関する省令の一部を改正する省令,令和七年厚生労働省令第十六号,令和七年三月四日,令和七年三月四日,,347M50002000009,https://laws.e-gov.go.jp/law/347M50002000009/20250304_507M60000100016,
府省令,昭和四十七年労働省令第十八号,沖縄の復帰に伴う労働省令等の適用の特別措置等に関する省令,おきなわのふっきにともなうろうどうしょうれいとうのてきようのとくべつそちとうにかんするしょうれい,,昭和四十七年五月十五日,女性労働基準規則,昭和六十一年労働省令第三号,昭和六十一年一月二十七日,昭和六十一年一月二十七日,,347M50002000018,https://laws.e-gov.go.jp/law/347M50002000018/19860127_361M50002000003,
府省令,昭和四十七年労働省令第三十二号,労働安全衛生規則,ろうどうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生規則の一部を改正する省令,令和八年厚生労働省令第八十六号,令和八年四月二十八日,令和八年八月一日,,347M50002000032,https://laws.e-gov.go.jp/law/347M50002000032/20260801_508M60000100086,
府省令,昭和四十七年労働省令第三十二号,労働安全衛生規則,ろうどうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生規則及び労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則の一部を改正する省令,令和七年厚生労働省令第百二十号,令和七年十二月九日,令和九年一月一日,,347M50002000032,https://laws.e-gov.go.jp/law/347M50002000032/20270101_507M60000100120,○
府省令,昭和四十七年労働省令第三十二号,労働安全衛生規則,ろうどうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生規則の一部を改正する省令,令和七年厚生労働省令第十二号,令和七年二月十九日,令和九年四月一日,,347M50002000032,https://laws.e-gov.go.jp/law/347M50002000032/20270401_507M60000100012,○
府省令,昭和四十七年労働省令第三十二号,労働安全衛生規則,ろうどうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000032,https://laws.e-gov.go.jp/law/347M50002000032/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第三十二号,労働安全衛生規則,ろうどうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生規則等の一部を改正する省令,令和八年厚生労働省令第八十九号,令和八年四月二十八日,令和九年四月一日,,347M50002000032,https://laws.e-gov.go.jp/law/347M50002000032/20270401_508M60000100089,○
府省令,昭和四十七年労働省令第三十二号,労働安全衛生規則,ろうどうあんぜんえいせいきそく,,昭和四十七年九月三十日,クレーン等安全規則及び労働安全衛生規則の一部を改正する省令,令和八年厚生労働省令第九十号,令和八年四月三十日,令和九年四月一日,,347M50002000032,https://laws.e-gov.go.jp/law/347M50002000032/20270401_508M60000100090,○
府省令,昭和四十七年労働省令第三十二号,労働安全衛生規則,ろうどうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生規則の一部を改正する省令,令和八年厚生労働省令第百十二号,令和八年六月三十日,令和九年四月一日,,347M50002000032,https://laws.e-gov.go.jp/law/347M50002000032/20270401_508M60000100112,○
府省令,昭和四十七年労働省令第三十二号,労働安全衛生規則,ろうどうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生規則の一部を改正する省令,令和八年厚生労働省令第六十八号,令和八年三月三十一日,令和十年四月一日,,347M50002000032,https://laws.e-gov.go.jp/law/347M50002000032/20280401_508M60000100068,○
府省令,昭和四十七年労働省令第三十三号,ボイラー及び圧力容器安全規則,ぼいらーおよびあつりょくようきあんぜんきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000033,https://laws.e-gov.go.jp/law/347M50002000033/20260401_508M60000100003,
府省令,昭和四十七年労働省令第三十三号,ボイラー及び圧力容器安全規則,ぼいらーおよびあつりょくようきあんぜんきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000033,https://laws.e-gov.go.jp/law/347M50002000033/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第三十四号,クレーン等安全規則,くれーんとうあんぜんきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000034,https://laws.e-gov.go.jp/law/347M50002000034/20260401_508M60000100003,
府省令,昭和四十七年労働省令第三十四号,クレーン等安全規則,くれーんとうあんぜんきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000034,https://laws.e-gov.go.jp/law/347M50002000034/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第三十四号,クレーン等安全規則,くれーんとうあんぜんきそく,,昭和四十七年九月三十日,クレーン等安全規則及び労働安全衛生規則の一部を改正する省令,令和八年厚生労働省令第九十号,令和八年四月三十日,令和九年四月一日,,347M50002000034,https://laws.e-gov.go.jp/law/347M50002000034/20270401_508M60000100090,○
府省令,昭和四十七年労働省令第三十五号,ゴンドラ安全規則,ごんどらあんぜんきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000035,https://laws.e-gov.go.jp/law/347M50002000035/20260401_508M60000100003,
府省令,昭和四十七年労働省令第三十五号,ゴンドラ安全規則,ごんどらあんぜんきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000035,https://laws.e-gov.go.jp/law/347M50002000035/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第三十六号,有機溶剤中毒予防規則,ゆうきようざいちゅうどくよぼうきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000036,https://laws.e-gov.go.jp/law/347M50002000036/20260401_508M60000100003,
府省令,昭和四十七年労働省令第三十六号,有機溶剤中毒予防規則,ゆうきようざいちゅうどくよぼうきそく,,昭和四十七年九月三十日,有機溶剤中毒予防規則等の一部を改正する省令,令和六年厚生労働省令第四十四号,令和六年三月十八日,令和八年十月一日,,347M50002000036,https://laws.e-gov.go.jp/law/347M50002000036/20261001_506M60000100044,○
府省令,昭和四十七年労働省令第三十六号,有機溶剤中毒予防規則,ゆうきようざいちゅうどくよぼうきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000036,https://laws.e-gov.go.jp/law/347M50002000036/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第三十六号,有機溶剤中毒予防規則,ゆうきようざいちゅうどくよぼうきそく,,昭和四十七年九月三十日,労働安全衛生規則等の一部を改正する省令,令和八年厚生労働省令第八十九号,令和八年四月二十八日,令和九年四月一日,,347M50002000036,https://laws.e-gov.go.jp/law/347M50002000036/20270401_508M60000100089,○
府省令,昭和四十七年労働省令第三十七号,鉛中毒予防規則,なまりちゅうどくよぼうきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000037,https://laws.e-gov.go.jp/law/347M50002000037/20260401_508M60000100003,
府省令,昭和四十七年労働省令第三十七号,鉛中毒予防規則,なまりちゅうどくよぼうきそく,,昭和四十七年九月三十日,有機溶剤中毒予防規則等の一部を改正する省令,令和六年厚生労働省令第四十四号,令和六年三月十八日,令和八年十月一日,,347M50002000037,https://laws.e-gov.go.jp/law/347M50002000037/20261001_506M60000100044,○
府省令,昭和四十七年労働省令第三十七号,鉛中毒予防規則,なまりちゅうどくよぼうきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000037,https://laws.e-gov.go.jp/law/347M50002000037/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第三十八号,四アルキル鉛中毒予防規則,しあるきるなまりちゅうどくよぼうきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000038,https://laws.e-gov.go.jp/law/347M50002000038/20260401_508M60000100003,
府省令,昭和四十七年労働省令第三十八号,四アルキル鉛中毒予防規則,しあるきるなまりちゅうどくよぼうきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000038,https://laws.e-gov.go.jp/law/347M50002000038/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第三十九号,特定化学物質障害予防規則,とくていかがくぶっしつしょうがいよぼうきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000039,https://laws.e-gov.go.jp/law/347M50002000039/20260401_508M60000100003,
府省令,昭和四十七年労働省令第三十九号,特定化学物質障害予防規則,とくていかがくぶっしつしょうがいよぼうきそく,,昭和四十七年九月三十日,有機溶剤中毒予防規則等の一部を改正する省令,令和六年厚生労働省令第四十四号,令和六年三月十八日,令和八年十月一日,,347M50002000039,https://laws.e-gov.go.jp/law/347M50002000039/20261001_506M60000100044,○
府省令,昭和四十七年労働省令第三十九号,特定化学物質障害予防規則,とくていかがくぶっしつしょうがいよぼうきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000039,https://laws.e-gov.go.jp/law/347M50002000039/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第三十九号,特定化学物質障害予防規則,とくていかがくぶっしつしょうがいよぼうきそく,,昭和四十七年九月三十日,労働安全衛生規則等の一部を改正する省令,令和八年厚生労働省令第八十九号,令和八年四月二十八日,令和九年四月一日,,347M50002000039,https://laws.e-gov.go.jp/law/347M50002000039/20270401_508M60000100089,○
府省令,昭和四十七年労働省令第四十号,高気圧作業安全衛生規則,こうきあつさぎょうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000040,https://laws.e-gov.go.jp/law/347M50002000040/20260401_508M60000100003,
府省令,昭和四十七年労働省令第四十号,高気圧作業安全衛生規則,こうきあつさぎょうあんぜんえいせいきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000040,https://laws.e-gov.go.jp/law/347M50002000040/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第四十一号,電離放射線障害防止規則,でんりほうしゃせんしょうがいぼうしきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000041,https://laws.e-gov.go.jp/law/347M50002000041/20260401_508M60000100003,
府省令,昭和四十七年労働省令第四十一号,電離放射線障害防止規則,でんりほうしゃせんしょうがいぼうしきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000041,https://laws.e-gov.go.jp/law/347M50002000041/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第四十一号,電離放射線障害防止規則,でんりほうしゃせんしょうがいぼうしきそく,,昭和四十七年九月三十日,労働安全衛生規則及び電離放射線障害防止規則の一部を改正する省令,令和七年厚生労働省令第百八号,令和七年十月二十九日,令和九年十月一日,,347M50002000041,https://laws.e-gov.go.jp/law/347M50002000041/20271001_507M60000100108,○
府省令,昭和四十七年労働省令第四十二号,酸素欠乏症等防止規則,さんそけつぼうしょうとうぼうしきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000042,https://laws.e-gov.go.jp/law/347M50002000042/20260401_508M60000100003,
府省令,昭和四十七年労働省令第四十二号,酸素欠乏症等防止規則,さんそけつぼうしょうとうぼうしきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000042,https://laws.e-gov.go.jp/law/347M50002000042/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第四十三号,事務所衛生基準規則,じむしょえいせいきじゅんきそく,,昭和四十七年九月三十日,事務所衛生基準規則及び労働安全衛生規則の一部を改正する省令,令和三年厚生労働省令第百八十八号,令和三年十二月一日,令和四年十二月一日,,347M50002000043,https://laws.e-gov.go.jp/law/347M50002000043/20221201_503M60000100188,
府省令,昭和四十七年労働省令第四十四号,労働安全衛生法及びこれに基づく命令に係る登録及び指定に関する省令,ろうどうあんぜんえいせいほうおよびこれにもとづくめいれいにかかるとうろくおよびしていにかんするしょうれい,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000044,https://laws.e-gov.go.jp/law/347M50002000044/20260401_508M60000100003,
府省令,昭和四十七年労働省令第四十四号,労働安全衛生法及びこれに基づく命令に係る登録及び指定に関する省令,ろうどうあんぜんえいせいほうおよびこれにもとづくめいれいにかかるとうろくおよびしていにかんするしょうれい,,昭和四十七年九月三十日,有機溶剤中毒予防規則等の一部を改正する省令,令和六年厚生労働省令第四十四号,令和六年三月十八日,令和八年十月一日,,347M50002000044,https://laws.e-gov.go.jp/law/347M50002000044/20261001_506M60000100044,○
府省令,昭和四十七年労働省令第四十四号,労働安全衛生法及びこれに基づく命令に係る登録及び指定に関する省令,ろうどうあんぜんえいせいほうおよびこれにもとづくめいれいにかかるとうろくおよびしていにかんするしょうれい,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000044,https://laws.e-gov.go.jp/law/347M50002000044/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第四十五号,機械等検定規則,きかいとうけんていきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第三号,令和八年一月二十日,令和八年四月一日,,347M50002000045,https://laws.e-gov.go.jp/law/347M50002000045/20260401_508M60000100003,
府省令,昭和四十七年労働省令第四十五号,機械等検定規則,きかいとうけんていきそく,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000045,https://laws.e-gov.go.jp/law/347M50002000045/20270401_508M60000100029,○
府省令,昭和四十七年労働省令第四十六号,産業安全専門官及び労働衛生専門官規程,さんぎょうあんぜんせんもんかんおよびろうどうえいせいせんもんかんきてい,,昭和四十七年九月三十日,元号の表記の整理のための厚生労働省関係省令の一部を改正する省令,令和元年厚生労働省令第一号,令和元年五月七日,令和元年五月七日,,347M50002000046,https://laws.e-gov.go.jp/law/347M50002000046/20190507_501M60000100001,
府省令,昭和四十七年労働省令第四十七号,沖縄県の区域における労働安全衛生法及びこれに基づく命令の適用の特別措置等に関する省令,おきなわけんのくいきにおけるろうどうあんぜんえいせいほうおよびこれにもとづくめいれいのてきようのとくべつそちとうにかんするしょうれい,,昭和四十七年九月三十日,,平成十五年厚生労働省令第百七十五号,平成十五年十二月十九日,平成十六年三月三十一日,,347M50002000047,https://laws.e-gov.go.jp/law/347M50002000047/20040331_415M60000100175,
府省令,昭和四十七年労働省令第四十七号,沖縄県の区域における労働安全衛生法及びこれに基づく命令の適用の特別措置等に関する省令,おきなわけんのくいきにおけるろうどうあんぜんえいせいほうおよびこれにもとづくめいれいのてきようのとくべつそちとうにかんするしょうれい,,昭和四十七年九月三十日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係省令の整備等に関する省令,令和八年厚生労働省令第二十九号,令和八年三月二十三日,令和九年四月一日,,347M50002000047,https://laws.e-gov.go.jp/law/347M50002000047/20270401_508M60000100029,○
政令,昭和四十八年政令第百九十五号,労働保険事務組合に対する報奨金に関する政令,ろうどうほけんじむくみあいにたいするほうしょうきんにかんするせいれい,,昭和四十八年七月十日,,平成二十三年政令第七十五号,平成二十三年三月三十一日,平成二十三年四月一日,,348CO0000000195,https://laws.e-gov.go.jp/law/348CO0000000195/20110401_423CO0000000075,
府省令,昭和四十八年労働省令第三号,労働安全コンサルタント及び労働衛生コンサルタント規則,ろうどうあんぜんこんさるたんとおよびろうどうえいせいこんさるたんときそく,,昭和四十八年三月二十四日,刑法等の一部を改正する法律及び刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律の施行に伴う厚生労働省関係省令の整理等に関する省令,令和七年厚生労働省令第六十二号,令和七年五月三十日,令和七年六月一日,,348M50002000003,https://laws.e-gov.go.jp/law/348M50002000003/20250601_507M60000100062,
府省令,昭和四十八年労働省令第二十三号,労働保険事務組合に対する報奨金に関する省令,ろうどうほけんじむくみあいにたいするほうしょうきんにかんするしょうれい,,昭和四十八年七月十日,労働保険事務組合に対する報奨金に関する省令の一部を改正する省令,令和七年厚生労働省令第九十九号,令和七年十月十日,令和七年十月十日,,348M50002000023,https://laws.e-gov.go.jp/law/348M50002000023/20251010_507M60000100099,
法律,昭和四十九年法律第百十六号,雇用保険法,こようほけんほう,,昭和四十九年十二月二十八日,船員法等の一部を改正する法律,令和七年法律第三十二号,令和七年五月十四日,令和八年五月十三日,,349AC0000000116,https://laws.e-gov.go.jp/law/349AC0000000116/20260513_507AC0000000032,
法律,昭和四十九年法律第百十六号,雇用保険法,こようほけんほう,,昭和四十九年十二月二十八日,雇用保険法等の一部を改正する法律,令和六年法律第二十六号,令和六年五月十七日,令和十年十月一日,,349AC0000000116,https://laws.e-gov.go.jp/law/349AC0000000116/20281001_506AC0000000026,○
府省令,昭和四十九年労働省令第三十号,労働者災害補償保険特別支給金支給規則,ろうどうしゃさいがいほしょうほけんとくべつしきゅうきんしきゅうきそく,,昭和四十九年十二月二十八日,刑法等の一部を改正する法律及び刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律の施行に伴う厚生労働省関係省令の整理等に関する省令,令和七年厚生労働省令第六十二号,令和七年五月三十日,令和七年六月一日,,349M50002000030,https://laws.e-gov.go.jp/law/349M50002000030/20250601_507M60000100062,
法律,昭和五十年法律第二十八号,作業環境測定法,さぎょうかんきょうそくていほう,,昭和五十年五月一日,労働安全衛生法及び作業環境測定法の一部を改正する法律,令和七年法律第三十三号,令和七年五月十四日,令和八年四月一日,,350AC0000000028,https://laws.e-gov.go.jp/law/350AC0000000028/20260401_507AC0000000033,
法律,昭和五十年法律第二十八号,作業環境測定法,さぎょうかんきょうそくていほう,,昭和五十年五月一日,労働安全衛生法及び作業環境測定法の一部を改正する法律,令和七年法律第三十三号,令和七年五月十四日,令和八年十月一日,,350AC0000000028,https://laws.e-gov.go.jp/law/350AC0000000028/20261001_507AC0000000033,○
政令,昭和五十年政令第二十五号,雇用保険法施行令,こようほけんほうせこうれい,,昭和五十年三月十日,雇用保険法施行令の一部を改正する政令,令和八年政令第百二十九号,令和八年四月八日,令和八年四月八日,,350CO0000000025,https://laws.e-gov.go.jp/law/350CO0000000025/20260408_508CO0000000129,
政令,昭和五十年政令第二十五号,雇用保険法施行令,こようほけんほうせこうれい,,昭和五十年三月十日,雇用保険法等の一部を改正する法律の施行に伴う関係政令の整備及び経過措置に関する政令,令和六年政令第三百十七号,令和六年十月十一日,令和十年十月一日,,350CO0000000025,https://laws.e-gov.go.jp/law/350CO0000000025/20281001_506CO0000000317,○
政令,昭和五十年政令第二百四十四号,作業環境測定法施行令,さぎょうかんきょうそくていほうせこうれい,,昭和五十年八月一日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るための行政手続等における情報通信の技術の利用に関する法律等の一部を改正する法律の施行に伴う関係政令の整備等に関する政令,令和元年政令第百八十三号,令和元年十二月十三日,令和元年十二月十六日,,350CO0000000244,https://laws.e-gov.go.jp/law/350CO0000000244/20191216_501CO0000000183,
政令,昭和五十年政令第二百四十四号,作業環境測定法施行令,さぎょうかんきょうそくていほうせこうれい,,昭和五十年八月一日,労働安全衛生法及び作業環境測定法の一部を改正する法律の一部の施行に伴う関係政令の整備に関する政令,令和八年政令第百九十六号,令和八年六月十七日,令和八年十月一日,,350CO0000000244,https://laws.e-gov.go.jp/law/350CO0000000244/20261001_508CO0000000196,○
府省令,昭和五十年運輸省令第四十六号,船員に関する勤労者財産形成促進法施行規則,せんいんにかんするきんろうしゃざいさんけいせいそくしんほうせこうきそく,,昭和五十年十一月十三日,押印を求める手続の見直し等のための国土交通省関係省令の一部を改正する省令,令和二年国土交通省令第九十八号,令和二年十二月二十三日,令和三年一月一日,,350M50000800046,https://laws.e-gov.go.jp/law/350M50000800046/20210101_502M60000800098,
府省令,昭和五十年労働省令第三号,雇用保険法施行規則,こようほけんほうしこうきそく,,昭和五十年三月十日,雇用保険法施行規則の一部を改正する省令,令和八年厚生労働省令第三十一号,令和八年三月二十四日,令和八年八月一日,,350M50002000003,https://laws.e-gov.go.jp/law/350M50002000003/20260801_508M60000100031,
