法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
府省令,平成三年労働省令第十七号,中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律に基づく委託募集に関する省令,ちゅうしょうきぎょうにおけるろうどうりょくのかくほおよびりょうこうなこようのきかいのそうしゅつのためのこようかんりのかいぜんのそくしんにかんするほうりつにもとづくいたくぼしゅうにかんするしょうれい,,平成三年七月三十一日,,平成十八年厚生労働省令第百六十五号,平成十八年九月二十日,平成十八年十月一日,,403M50002000017,https://laws.e-gov.go.jp/law/403M50002000017/20061001_418M60000100165,
府省令,平成三年労働省令第二十五号,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則,いくじきゅうぎょうかいごきゅうぎょうとういくじまたはかぞくかいごをおこなうろうどうしゃのふくしにかんするほうりつしこうきそく,,平成三年十月十五日,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則及び雇用保険法施行規則の一部を改正する省令,令和六年厚生労働省令第百二十五号,令和六年九月十一日,令和七年十月一日,,403M50002000025,https://laws.e-gov.go.jp/law/403M50002000025/20251001_506M60000100125,
府省令,平成三年労働省令第二十五号,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則,いくじきゅうぎょうかいごきゅうぎょうとういくじまたはかぞくかいごをおこなうろうどうしゃのふくしにかんするほうりつしこうきそく,,平成三年十月十五日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和八年厚生労働省令第十八号,令和八年二月二十六日,令和八年十月一日,,403M50002000025,https://laws.e-gov.go.jp/law/403M50002000025/20261001_508M60000100018,○
府省令,平成三年通商産業省・労働省令第三号,中小企業における労働力の確保及び良好な雇用の機会の創出のための雇用管理の改善の促進に関する法律施行規則,ちゅうしょうきぎょうにおけるろうどうりょくのかくほおよびりょうこうなこようのきかいのそうしゅつのためのこようかんりのかいぜんのそくしんにかんするほうりつしこうきそく,,平成三年七月三十一日,,平成十八年厚生労働省令第百十六号,平成十八年四月二十八日,平成十八年五月一日,,403M50002400003,https://laws.e-gov.go.jp/law/403M50002400003/20060501_418M60000100116,
法律,平成四年法律第六十三号,介護労働者の雇用管理の改善等に関する法律,かいごろうどうしゃのこようかんりのかいぜんとうにかんするほうりつ,,平成四年五月二十七日,情報処理の高度化等に対処するための刑法等の一部を改正する法律,平成二十三年法律第七十四号,平成二十三年六月二十四日,平成二十三年七月十四日,,404AC0000000063,https://laws.e-gov.go.jp/law/404AC0000000063/20110714_423AC0000000074,
法律,平成四年法律第九十号,労働時間等の設定の改善に関する特別措置法,ろうどうじかんとうのせっていのかいぜんにかんするとくべつそちほう,,平成四年七月二日,雇用保険法等の一部を改正する法律,令和二年法律第十四号,令和二年三月三十一日,令和二年三月三十一日,,404AC0000000090,https://laws.e-gov.go.jp/law/404AC0000000090/20200331_502AC0000000014,
政令,平成四年政令第二百三十三号,介護労働者の雇用管理の改善等に関する法律施行令,かいごろうどうしゃのこようかんりのかいぜんとうにかんするほうりつしこうれい,,平成四年六月二十六日,,平成十五年政令第五百五十五号,平成十五年十二月二十五日,平成十六年三月一日,,404CO0000000233,https://laws.e-gov.go.jp/law/404CO0000000233/20040301_415CO0000000555,
政令,平成四年政令第二百九十号,労働時間等の設定の改善に関する特別措置法第八条から第十二条までに規定する厚生労働大臣の権限の一部の委任等に関する政令,ろうどうじかんとうのせっていのかいぜんにかんするとくべつそちほうだいはちじょうからだいじゅうにじょうまでにきていするこうせいろうどうだいじんのけんげんのいちぶのいにんとうにかんするせいれい,,平成四年八月二十八日,通訳案内士法及び旅行業法の一部を改正する法律の施行に伴う関係政令の整備に関する政令,平成二十九年政令第二百二十八号,平成二十九年八月十八日,平成三十年一月四日,,404CO0000000290,https://laws.e-gov.go.jp/law/404CO0000000290/20180104_429CO0000000228,
府省令,平成四年労働省令第十八号,介護労働者の雇用管理の改善等に関する法律施行規則,かいごろうどうしゃのこようかんりのかいぜんとうにかんするほうりつしこうきそく,,平成四年六月二十九日,障害者の日常生活及び社会生活を総合的に支援するための法律等の一部を改正する法律の一部の施行に伴う厚生労働省関係省令の整理に関する省令,令和六年厚生労働省令第十八号,令和六年一月二十五日,令和七年十月一日,,404M50002000018,https://laws.e-gov.go.jp/law/404M50002000018/20251001_506M60000100018,
府省令,平成四年労働省令第二十六号,労働時間等の設定の改善に関する特別措置法施行規則,ろうどうじかんとうのせっていのかいぜんにかんするとくべつそちほうしこうきそく,,平成四年八月二十八日,労働基準法施行規則及び労働時間等の設定の改善に関する特別措置法施行規則の一部を改正する省令,令和五年厚生労働省令第三十九号,令和五年三月三十日,令和六年四月一日,,404M50002000026,https://laws.e-gov.go.jp/law/404M50002000026/20240401_505M60000100039,
府省令,平成四年労働省・建設省令第一号,勤労者財産形成促進法施行令附則第五項の事項及び基準を定める省令,きんろうしゃざいさんけいせいそくしんほうしこうれいふそくだいごこうのじこうおよびきじゅんをさだめるしょうれい,,平成四年十二月十六日,,平成二十三年厚生労働省・国土交通省令第一号,平成二十三年六月十日,平成二十三年十月一日,,404M50006000001,https://laws.e-gov.go.jp/law/404M50006000001/20111001_423M60000900001,
法律,平成五年法律第七十六号,短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律,たんじかんろうどうしゃおよびゆうきこようろうどうしゃのこようかんりのかいぜんとうにかんするほうりつ,短時間労働者の雇用管理の改善等に関する法律,平成五年六月十八日,女性の職業生活における活躍の推進に関する法律等の一部を改正する法律,令和元年法律第二十四号,令和元年六月五日,令和二年六月一日,,405AC0000000076,https://laws.e-gov.go.jp/law/405AC0000000076/20200601_501AC0000000024,
法律,平成五年法律第七十六号,短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律,たんじかんろうどうしゃおよびゆうきこようろうどうしゃのこようかんりのかいぜんとうにかんするほうりつ,短時間労働者の雇用管理の改善等に関する法律,平成五年六月十八日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律,令和七年法律第六十三号,令和七年六月十一日,令和八年十月一日,,405AC0000000076,https://laws.e-gov.go.jp/law/405AC0000000076/20261001_507AC0000000063,○
府省令,平成五年労働省令第三十四号,短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律施行規則,たんじかんろうどうしゃおよびゆうきこようろうどうしゃのこようかんりのかいぜんとうにかんするほうりつしこうきそく,短時間労働者の雇用管理の改善等に関する法律施行規則,平成五年十一月十九日,働き方改革を推進するための関係法律の整備に関する法律の一部の施行に伴う厚生労働省関係省令の整備及び経過措置に関する省令,平成三十年厚生労働省令第百五十三号,平成三十年十二月二十八日,令和二年四月一日,,405M50002000034,https://laws.e-gov.go.jp/law/405M50002000034/20200401_430M60000100153,
府省令,平成五年労働省令第三十四号,短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律施行規則,たんじかんろうどうしゃおよびゆうきこようろうどうしゃのこようかんりのかいぜんとうにかんするほうりつしこうきそく,短時間労働者の雇用管理の改善等に関する法律施行規則,平成五年十一月十九日,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律の施行に伴う厚生労働省関係省令の整備に関する省令,令和八年厚生労働省令第十八号,令和八年二月二十六日,令和八年十月一日,,405M50002000034,https://laws.e-gov.go.jp/law/405M50002000034/20261001_508M60000100018,○
府省令,平成五年労働省令第三十四号,短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律施行規則,たんじかんろうどうしゃおよびゆうきこようろうどうしゃのこようかんりのかいぜんとうにかんするほうりつしこうきそく,短時間労働者の雇用管理の改善等に関する法律施行規則,平成五年十一月十九日,労働者派遣事業の適正な運営の確保及び派遣労働者の保護等に関する法律施行規則及び短時間労働者及び有期雇用労働者の雇用管理の改善等に関する法律施行規則の一部を改正する省令,令和八年厚生労働省令第八十七号,令和八年四月二十八日,令和八年十月一日,,405M50002000034,https://laws.e-gov.go.jp/law/405M50002000034/20261001_508M60000100087,○
政令,平成六年政令第五号,労働基準法第三十七条第一項の時間外及び休日の割増賃金に係る率の最低限度を定める政令,ろうどうきじゅんほうだいさんじゅうななじょうだいいっこうのじかんがいおよびきゅうじつのわりましちんぎんにかかるりつのさいていげんどをさだめるせいれい,,平成六年一月四日,,平成十二年政令第三百九号,平成十二年六月七日,平成十三年一月六日,,406CO0000000005,https://laws.e-gov.go.jp/law/406CO0000000005/20010106_412CO0000000309,
法律,平成七年法律第百二十九号,高齢社会対策基本法,こうれいしゃかいたいさくきほんほう,,平成七年十一月十五日,防災庁設置法の施行に伴う関係法律の整備等に関する法律,令和八年法律第六十二号,令和八年七月十七日,令和八年七月十七日,,407AC0100000129,https://laws.e-gov.go.jp/law/407AC0100000129/20260717_508AC0000000062,
法律,平成七年法律第百二十九号,高齢社会対策基本法,こうれいしゃかいたいさくきほんほう,,平成七年十一月十五日,防災庁設置法の施行に伴う関係法律の整備等に関する法律,令和八年法律第六十二号,令和八年七月十七日,令和八年十二月三十一日,防災庁設置法（令和八年法律第六十一号）の施行の日,407AC0100000129,https://laws.e-gov.go.jp/law/407AC0100000129/20261231_508AC0000000062,○
政令,平成七年政令第四百九号,中小企業退職金共済法の一部を改正する法律の一部の施行に伴う経過措置に関する政令,ちゅうしょうきぎょうたいしょくきんきょうさいほうのいちぶをかいせいするほうりつのいちぶのせこうにともなうけいかそちにかんするせいれい,,平成七年十二月十三日,,,平成七年十二月十三日,平成八年四月一日,,407CO0000000409,https://laws.e-gov.go.jp/law/407CO0000000409/19960401_000000000000000,
政令,平成七年政令第四百十六号,高齢社会対策会議令,こうれいしゃかいたいさくかいぎれい,,平成七年十二月十五日,,平成十二年政令第三百三号,平成十二年六月七日,平成十三年一月六日,,407CO0000000416,https://laws.e-gov.go.jp/law/407CO0000000416/20010106_412CO0000000303,
府省令,平成七年労働省・建設省令第一号,勤労者財産形成促進法施行令附則第八項の住宅を定める省令,きんろうしゃざいさんけいせいそくしんほうしこうれいふそくだいはちこうのじゅうたくをさだめるしょうれい,,平成七年三月十七日,,平成九年労働省・建設省令第一号,平成九年四月一日,平成九年四月一日,,407M50006000001,https://laws.e-gov.go.jp/law/407M50006000001/19970401_409M50006000001,
府省令,平成九年運輸省令第二十号,船員に関する中小企業退職金共済法の一部を改正する法律の施行に関する省令,せんいんにかんするちゅうしょうきぎょうたいしょくきんきょうさいほうのいちぶをかいせいするほうりつのしこうにかんするしょうれい,,平成九年三月二十八日,,,平成九年三月二十八日,平成九年四月一日,,409M50000800020,https://laws.e-gov.go.jp/law/409M50000800020/19970401_000000000000000,
府省令,平成九年労働省令第十八号,中小企業退職金共済法の一部を改正する法律の施行に関する省令,ちゅうしょうきぎょうたいしょくきんきょうさいほうのいちぶをかいせいするほうりつのしこうにかんするしょうれい,,平成九年三月三十一日,,,平成九年三月三十一日,平成九年三月三十一日,,409M50002000018,https://laws.e-gov.go.jp/law/409M50002000018/19970331_000000000000000,
府省令,平成九年労働省令第三十号,中小企業退職金共済法施行令の一部を改正する政令の施行に伴う経過措置に関する省令,ちゅうしょうきぎょうたいしょくきんきょうさいほうしこうれいのいちぶをかいせいするせいれいのしこうにともなうけいかそちにかんするしょうれい,,平成九年八月十四日,,平成十年労働省令第十二号,平成十年三月二十五日,平成十年四月一日,,409M50002000030,https://laws.e-gov.go.jp/law/409M50002000030/19980401_410M50002000012,
政令,平成十一年政令第十五号,労働基準法の一部を改正する法律の施行に伴う年次有給休暇に関する経過措置に関する政令,ろうどうきじゅんほうのいちぶをかいせいするほうりつのしこうにともなうねんじゆうきゅうきゅうかにかんするけいかそちにかんするせいれい,,平成十一年一月二十九日,,,平成十一年一月二十九日,平成十一年四月一日,,411CO0000000015,https://laws.e-gov.go.jp/law/411CO0000000015/19990401_000000000000000,
